날짜,순위,제목,가수
2023-04-16,48,Nxde,(여자)아이들
2023-04-16,49,Blue Blood,IVE (아이브)
2023-04-16,50,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
2023-04-16,51,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
2023-04-16,52,Monologue,테이(Tei)
2023-04-16,53,"Young, Dumb, Stupid",NMIXX
2023-04-16,54,다정히 내 이름을 부르면,경서예지
2023-04-16,55,WHEN I MOVE,카라(Kara)
2023-04-16,56,Off My Face,Justin Bieber(저스틴 비버)
2023-04-16,57,Rush Hour (Feat. j-hope of BTS),Crush
2023-04-16,58,Say My Name,Say Yes!
2023-04-16,59,빛이 나는 너에게,던 (DAWN)
2023-04-16,60,주저하는 연인들을 위해,잔나비
2023-04-16,61,취중고백,김민석 (멜로망스)
2023-04-16,62,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2023-04-16,63,해요 (2022),#안녕
2023-04-16,64,나의 X에게,경서
2023-04-16,65,드라마,아이유(IU)
2023-04-16,66,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지
2023-04-16,67,Feel My Rhythm,Red Velvet (레드벨벳)
2023-04-16,68,사랑은 늘 도망가,임영웅
2023-04-16,69,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
2023-04-16,70,Lips,IVE (아이브)
2023-04-16,71,Zero,NewJeans
2023-04-16,72,strawberry moon,아이유(IU)
2023-04-16,73,좋은 꿈 꿔 0224.mp3,볼빨간사춘기
2023-04-16,74,Expectations,Anne-Marie(앤 마리)
2023-04-16,75,딱 10CM만,10CM
2023-04-16,76,내가 아니라도,주호
2023-04-16,77,Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스)
2023-04-16,78,친구로 지내다 보면 (Feat. 김민석 of 멜로망스),BIG Naughty (서동현)
2023-04-16,79,Anti-Hero,Taylor Swift(테일러 스위프트)
2023-04-16,80,Love story,볼빨간사춘기
2023-04-16,81,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
2023-04-16,82,자격지심 (Feat. ZICO),BE'O (비오)
2023-04-16,83,도깨비불 (Illusion),aespa
2023-04-16,84,Rome,볼빨간사춘기
2023-04-16,85,INVU,태연 (TAEYEON)
2023-04-16,86,LOVE me,BE'O (비오)
2023-04-16,87,Dynamite,방탄소년단
2023-04-16,88,Rising,tripleS (트리플에스)
2023-04-16,89,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (feat. FIFA Sound),정국
2023-04-16,90,Made You Look,Meghan Trainor(메간 트레이너)
2023-04-16,91,Hurt,NewJeans
2023-04-16,92,봄날,방탄소년단
2023-04-16,93,봄 사랑 벚꽃 말고,하이포(HIGH4)
2023-04-16,94,Impurities,LE SSERAFIM (르세라핌)
2023-04-16,95,사랑하기 싫어,지아(Zia)
2023-04-16,96,Like Crazy,지민
2023-04-16,97,보고싶었어,WSG워너비(4FIRE)
2023-04-16,98,Next Level,aespa
2023-04-16,99,그댄 행복에 살텐데 (2022),최유리
2023-04-16,100,우린 그렇게 사랑해서,강민경
2023-04-17,1,I AM,IVE (아이브)
2023-04-17,2,Kitsch,IVE (아이브)
2023-04-17,3,꽃,지수(JISOO)
2023-04-17,4,Cupid,FIFTY FIFTY
2023-04-17,5,Ditto,NewJeans
2023-04-17,6,Hype Boy,NewJeans
2023-04-17,7,Teddy Bear,STAYC(스테이씨)
2023-04-17,8,Chase Love Hard (Feat. 황민현),볼빨간사춘기
2023-04-17,9,OMG,NewJeans
2023-04-17,10,Love Me Like This,NMIXX
2023-04-17,11,Perfume,NCT 도재정
2023-04-17,12,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
2023-04-17,13,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
2023-04-17,14,CHRISTIAN,지올팍(Zior Park)
2023-04-17,15,FRIEND THE END,볼빨간사춘기
2023-04-17,16,Attention,NewJeans
2023-04-17,17,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN)
2023-04-17,18,사건의 지평선,윤하(Younha/ユンナ)
2023-04-17,19,After LIKE,IVE (아이브)
2023-04-17,20,LOVE DIVE,IVE (아이브)
2023-04-17,21,ANTIFRAGILE,LE SSERAFIM (르세라핌)
2023-04-17,22,Kiss,NCT 도재정
2023-04-17,23,Cupid (Twin Ver.),FIFTY FIFTY
2023-04-17,24,밤이 무서워요 (Lonely Night),주주 시크릿
2023-04-17,25,Dangerously,Charlie Puth(찰리 푸스)
2023-04-17,26,후유증 (Can We Go Back),NCT 도재정
2023-04-17,27,심(心),DK(디셈버)
2023-04-17,28,한 페이지가 될 수 있게,DAY6 (데이식스)
2023-04-17,29,When I Get Old,Christopher(크리스토퍼)
2023-04-17,30,오르트구름,윤하(Younha/ユンナ)
2023-04-17,31,Poppy (Korean Ver.),STAYC(스테이씨)
2023-04-17,32,사랑이 이별이 돼 가는 모습이,볼빨간사춘기
2023-04-17,33,Shut Down,BLACKPINK
2023-04-17,34,Dive,NCT 도재정
2023-04-17,35,Strawberry Sunday,NCT 도재정
2023-04-17,36,사랑인가 봐,멜로망스(MeloMance)
2023-04-17,37,Candy,NCT DREAM
2023-04-17,38,VIBE (feat. Jimin of BTS),태양
2023-04-17,39,Nostalgia,우디(Woody)
2023-04-17,40,ELEVEN,IVE (아이브)
2023-04-17,41,FEARLESS,LE SSERAFIM (르세라핌)
2023-04-17,42,너의 모든 순간,성시경
2023-04-17,43,Pink Venom,BLACKPINK
2023-04-17,44,사람 Pt.2 (feat. 아이유),Agust D
2023-04-17,45,That's Hilarious,Charlie Puth(찰리 푸스)
2023-04-17,46,Cookie,NewJeans
2023-04-17,47,STAY,The Kid LAROI
2023-04-17,48,Blue Blood,IVE (아이브)
2023-04-17,49,그라데이션,10CM
2023-04-17,50,안녕 (Ordinary),NCT 도재정
2023-04-17,51,Unholy,Sam Smith(샘 스미스)
2023-04-17,52,That’s Not How This Works (feat. Dan + Shay),Charlie Puth(찰리 푸스)
2023-04-17,53,TOMBOY,(여자)아이들
2023-04-17,54,Say I Love You,우디(Woody)
2023-04-17,55,Expectations,Anne-Marie(앤 마리)
2023-04-17,56,Nxde,(여자)아이들
2023-04-17,57,Say My Name,Say Yes!
2023-04-17,58,다정히 내 이름을 부르면,경서예지
2023-04-17,59,WHEN I MOVE,카라(Kara)
2023-04-17,60,"Young, Dumb, Stupid",NMIXX
2023-04-17,61,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
2023-04-17,62,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2023-04-17,63,Off My Face,Justin Bieber(저스틴 비버)
2023-04-17,64,Monologue,테이(Tei)
2023-04-17,65,빛이 나는 너에게,던 (DAWN)
2023-04-17,66,Rush Hour (Feat. j-hope of BTS),Crush
2023-04-17,67,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
2023-04-17,68,해요 (2022),#안녕
2023-04-17,69,취중고백,김민석 (멜로망스)
2023-04-17,70,사랑은 늘 도망가,임영웅
2023-04-17,71,Feel My Rhythm,Red Velvet (레드벨벳)
2023-04-17,72,드라마,아이유(IU)
2023-04-17,73,나의 X에게,경서
2023-04-17,74,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
2023-04-17,75,Lips,IVE (아이브)
2023-04-17,76,주저하는 연인들을 위해,잔나비
2023-04-17,77,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지
2023-04-17,78,strawberry moon,아이유(IU)
2023-04-17,79,좋은 꿈 꿔 0224.mp3,볼빨간사춘기
2023-04-17,80,Zero,NewJeans
2023-04-17,81,자격지심 (Feat. ZICO),BE'O (비오)
2023-04-17,82,내가 아니라도,주호
2023-04-17,83,딱 10CM만,10CM
2023-04-17,84,Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스)
2023-04-17,85,도깨비불 (Illusion),aespa
2023-04-17,86,Love story,볼빨간사춘기
2023-04-17,87,Anti-Hero,Taylor Swift(테일러 스위프트)
2023-04-17,88,친구로 지내다 보면 (Feat. 김민석 of 멜로망스),BIG Naughty (서동현)
2023-04-17,89,Rome,볼빨간사춘기
2023-04-17,90,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
2023-04-17,91,LOVE me,BE'O (비오)
2023-04-17,92,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (feat. FIFA Sound),정국
2023-04-17,93,Dynamite,방탄소년단
2023-04-17,94,INVU,태연 (TAEYEON)
2023-04-17,95,Rising,tripleS (트리플에스)
2023-04-17,96,Made You Look,Meghan Trainor(메간 트레이너)
2023-04-17,97,Like Crazy,지민
2023-04-17,98,Hurt,NewJeans
2023-04-17,99,Impurities,LE SSERAFIM (르세라핌)
2023-04-17,100,사랑하기 싫어,지아(Zia)
2023-04-18,1,I AM,IVE (아이브)
2023-04-18,2,Kitsch,IVE (아이브)
2023-04-18,3,꽃,지수(JISOO)
2023-04-18,4,Cupid,FIFTY FIFTY
2023-04-18,5,Ditto,NewJeans
2023-04-18,6,Hype Boy,NewJeans
2023-04-18,7,Teddy Bear,STAYC(스테이씨)
2023-04-18,8,OMG,NewJeans
2023-04-18,9,Love Me Like This,NMIXX
2023-04-18,10,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
2023-04-18,11,CHRISTIAN,지올팍(Zior Park)
2023-04-18,12,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
2023-04-18,13,Attention,NewJeans
2023-04-18,14,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN)
2023-04-18,15,FRIEND THE END,볼빨간사춘기
2023-04-18,16,사건의 지평선,윤하(Younha/ユンナ)
2023-04-18,17,After LIKE,IVE (아이브)
2023-04-18,18,Chase Love Hard (Feat. 황민현),볼빨간사춘기
2023-04-18,19,LOVE DIVE,IVE (아이브)
2023-04-18,20,ANTIFRAGILE,LE SSERAFIM (르세라핌)
2023-04-18,21,Perfume,NCT 도재정
2023-04-18,22,밤이 무서워요 (Lonely Night),주주 시크릿
2023-04-18,23,심(心),DK(디셈버)
2023-04-18,24,Cupid (Twin Ver.),FIFTY FIFTY
2023-04-18,25,Dangerously,Charlie Puth(찰리 푸스)
2023-04-18,26,한 페이지가 될 수 있게,DAY6 (데이식스)
2023-04-18,27,오르트구름,윤하(Younha/ユンナ)
2023-04-18,28,When I Get Old,Christopher(크리스토퍼)
2023-04-18,29,Poppy (Korean Ver.),STAYC(스테이씨)
2023-04-18,30,Shut Down,BLACKPINK
2023-04-18,31,사랑인가 봐,멜로망스(MeloMance)
2023-04-18,32,너의 모든 순간,성시경
2023-04-18,33,Candy,NCT DREAM
2023-04-18,34,Nostalgia,우디(Woody)
2023-04-18,35,VIBE (feat. Jimin of BTS),태양
2023-04-18,36,ELEVEN,IVE (아이브)
2023-04-18,37,FEARLESS,LE SSERAFIM (르세라핌)
2023-04-18,38,Pink Venom,BLACKPINK
2023-04-18,39,Cookie,NewJeans
2023-04-18,40,사람 Pt.2 (feat. 아이유),Agust D
2023-04-18,41,That's Hilarious,Charlie Puth(찰리 푸스)
2023-04-18,42,사랑이 이별이 돼 가는 모습이,볼빨간사춘기
2023-04-18,43,그라데이션,10CM
2023-04-18,44,Blue Blood,IVE (아이브)
2023-04-18,45,"Young, Dumb, Stupid",NMIXX
2023-04-18,46,That’s Not How This Works (feat. Dan + Shay),Charlie Puth(찰리 푸스)
2023-04-18,47,STAY,The Kid LAROI
2023-04-18,48,Unholy,Sam Smith(샘 스미스)
2023-04-18,49,Expectations,Anne-Marie(앤 마리)
2023-04-18,50,TOMBOY,(여자)아이들
2023-04-18,51,WHEN I MOVE,카라(Kara)
2023-04-18,52,Monologue,테이(Tei)
2023-04-18,53,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
2023-04-18,54,Say I Love You,우디(Woody)
2023-04-18,55,Nxde,(여자)아이들
2023-04-18,56,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2023-04-18,57,다정히 내 이름을 부르면,경서예지
2023-04-18,58,Kiss,NCT 도재정
2023-04-18,59,빛이 나는 너에게,던 (DAWN)
2023-04-18,60,Say My Name,Say Yes!
2023-04-18,61,Off My Face,Justin Bieber(저스틴 비버)
2023-04-18,62,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
2023-04-18,63,취중고백,김민석 (멜로망스)
2023-04-18,64,사랑은 늘 도망가,임영웅
2023-04-18,65,드라마,아이유(IU)
2023-04-18,66,Rush Hour (Feat. j-hope of BTS),Crush
2023-04-18,67,해요 (2022),#안녕
2023-04-18,68,Lips,IVE (아이브)
2023-04-18,69,Feel My Rhythm,Red Velvet (레드벨벳)
2023-04-18,70,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
2023-04-18,71,후유증 (Can We Go Back),NCT 도재정
2023-04-18,72,strawberry moon,아이유(IU)
2023-04-18,73,Zero,NewJeans
2023-04-18,74,INVU,태연 (TAEYEON)
2023-04-18,75,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지
2023-04-18,76,주저하는 연인들을 위해,잔나비
2023-04-18,77,나의 X에게,경서
2023-04-18,78,내가 아니라도,주호
2023-04-18,79,Anti-Hero,Taylor Swift(테일러 스위프트)
2023-04-18,80,친구로 지내다 보면 (Feat. 김민석 of 멜로망스),BIG Naughty (서동현)
2023-04-18,81,자격지심 (Feat. ZICO),BE'O (비오)
2023-04-18,82,도깨비불 (Illusion),aespa
2023-04-18,83,Love story,볼빨간사춘기
2023-04-18,84,딱 10CM만,10CM
2023-04-18,85,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
2023-04-18,86,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (feat. FIFA Sound),정국
2023-04-18,87,Dynamite,방탄소년단
2023-04-18,88,Rising,tripleS (트리플에스)
2023-04-18,89,Made You Look,Meghan Trainor(메간 트레이너)
2023-04-18,90,LOVE me,BE'O (비오)
2023-04-18,91,Like Crazy,지민
2023-04-18,92,Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스)
2023-04-18,93,Impurities,LE SSERAFIM (르세라핌)
2023-04-18,94,Strawberry Sunday,NCT 도재정
2023-04-18,95,Dive,NCT 도재정
2023-04-18,96,Higher,FIFTY FIFTY
2023-04-18,97,Hurt,NewJeans
2023-04-18,98,그댄 행복에 살텐데 (2022),최유리
2023-04-18,99,좋은 꿈 꿔 0224.mp3,볼빨간사춘기
2023-04-18,100,사랑하기 싫어,지아(Zia)
2023-04-19,1,I AM,IVE (아이브)
2023-04-19,2,Kitsch,IVE (아이브)
2023-04-19,3,꽃,지수(JISOO)
2023-04-19,4,Cupid,FIFTY FIFTY
2023-04-19,5,Ditto,NewJeans
2023-04-19,6,Hype Boy,NewJeans
2023-04-19,7,Teddy Bear,STAYC(스테이씨)
2023-04-19,8,OMG,NewJeans
2023-04-19,9,Love Me Like This,NMIXX
2023-04-19,10,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
2023-04-19,11,Attention,NewJeans
2023-04-19,12,CHRISTIAN,지올팍(Zior Park)
2023-04-19,13,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
2023-04-19,14,사건의 지평선,윤하(Younha/ユンナ)
2023-04-19,15,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN)
2023-04-19,16,After LIKE,IVE (아이브)
2023-04-19,17,LOVE DIVE,IVE (아이브)
2023-04-19,18,ANTIFRAGILE,LE SSERAFIM (르세라핌)
2023-04-19,19,FRIEND THE END,볼빨간사춘기
2023-04-19,20,Chase Love Hard (Feat. 황민현),볼빨간사춘기
2023-04-19,21,밤이 무서워요 (Lonely Night),주주 시크릿
2023-04-19,22,심(心),DK(디셈버)
2023-04-19,23,Dangerously,Charlie Puth(찰리 푸스)
2023-04-19,24,한 페이지가 될 수 있게,DAY6 (데이식스)
2023-04-19,25,When I Get Old,Christopher(크리스토퍼)
2023-04-19,26,Cupid (Twin Ver.),FIFTY FIFTY
2023-04-19,27,오르트구름,윤하(Younha/ユンナ)
2023-04-19,28,Poppy (Korean Ver.),STAYC(스테이씨)
